매장명,주소,위도,경도
마곡GMG,"서울특별시 강서구 마곡중앙6로 16 (마곡동) 117,118,119,120호 1522-3232",37.560487,126.829667
마곡나루공원,서울특별시 강서구 마곡중앙5로 47 (마곡동) 1522-3232,37.567007,126.822246
마곡나루역,서울특별시 강서구 마곡중앙로 161-17 (마곡동) 1522-3232,37.56813,126.82614
마곡보타닉게이트,"서울특별시 강서구 마곡동로 166 (마곡동) 106호,107호,108호 1522-3232",37.56910032,126.8363328
마곡사이언스타워R,서울특별시 강서구 마곡동로 62 (마곡동) 1522-3232,37.5605261,126.833887
마곡역,서울특별시 강서구 공항대로 168 (마곡동) 1522-3232,37.559611,126.826298
마곡웰튼,"서울특별시 강서구 마곡중앙5로 22 (마곡동), 104/105/106호 1522-3232",37.56714289,126.8253152
마곡케이스퀘어,"서울특별시 강서구 마곡중앙로 105-7 (마곡동), 1층 일부 1522-3232",37.5623745,126.8269307
마곡코엑스,서울특별시 강서구 마곡중앙로 143 (마곡동) 1522-3232,37.56530318,126.8257043
마로니에공원,"서울특별시 종로구 대학로 116, 1-2층 (동숭동) 1522-3232",37.58154296,127.0023412
마리오아울렛,서울특별시 금천구 벚꽃로 266 마리오아울렛3관 1522-3232,37.47860691,126.8848483
마포경찰서후문,서울특별시 마포구 마포대로 173-14 (아현동) 1522-3232,37.5508,126.953432
마포구청역,서울특별시 마포구 월드컵로 200 (성산동) 1층 일부 1522-3232,37.56495699,126.9025546
마포아크로,서울특별시 마포구 마포대로 68 (도화동) 마포아크로타워 1522-3232,37.54133484,126.9488666
마포역뉴매드,서울특별시 마포구 마포대로 26 (마포동) 1522-3232,37.53898848,126.9454907
마포염리,서울특별시 마포구 독막로 311 (염리동) 1522-3232,37.543876,126.94768
마포용강동,서울특별시 마포구 토정로 295 (용강동) 1522-3232,37.541186,126.942209
마포이마트,서울특별시 마포구 백범로 212 (신공덕동) 마포이마트 1522-3232,37.542421,126.953341
마포일진빌딩,"서울특별시 마포구 마포대로 45, 일진빌딩 1층 (도화동) 1522-3232",37.54043451,126.9463168
망우동,서울특별시 중랑구 망우로 407 (망우동) 1522-3232,37.59950838,127.0975388
망원역,서울특별시 마포구 월드컵로 74 (서교동) 1522-3232,37.555829,126.910637
망원한강공원,서울특별시 마포구 마포나루길 435 (망원동) 1522-3232,37.55397485,126.8959278
매봉역,서울특별시 강남구 남부순환로 2736 (도곡동) 1522-3232,37.4859095,127.0452879
면목역,서울특별시 중랑구 면목로 403 (면목동) 1522-3232,37.58788013,127.087609
명동길,서울특별시 중구 명동10길 41 1522-3232,37.5620695,126.9858669
명동남산,서울특별시 중구 퇴계로 132 (남산동3가) 1522-3232,37.560809,126.986397
명동메트로,서울특별시 중구 명동9가길 14 (을지로1가) 메트로호텔 1522-3232,37.565118,126.983681
명동역,"서울특별시 중구 퇴계로 101, 건물 전체 (충무로 1가) 1522-3232",37.56086222,126.9831054
명동중앙로,서울특별시 중구 명동길 60 (명동 2가) 1522-3232,37.5637485,126.9857723
명일역,서울특별시 강동구 양재대로 1647 (명일동) 1522-3232,37.55255452,127.1438858
명일이마트,서울특별시 강동구 동남로75길 5 (명일동) 명일이마트별관주차장 1522-3232,37.55417877,127.1561341
명지대,서울특별시 서대문구 거북골로 34 (남가좌동) 1522-3232,37.5790409,126.9227886
목동,서울특별시 양천구 목동서로 67 (목동) 우성에펠타운 1522-3232,37.53638383,126.8785597
목동10단지,"서울특별시 양천구 목동서로 401 (신정동, 대림아크로빌), 상가A동 101,101-1호 1522-3232",37.51542562,126.8596031
목동5단지,"서울특별시 양천구 목동동로 411, 1동 116호(목동, 부영그린타운3차) 1522-3232",37.53638564,126.8821175
목동7단지,서울특별시 양천구 목동서로 213 (목동) 세신비젼프라자 1522-3232,37.528012,126.87053
목동8단지,서울특별시 양천구 목동서로 299 (신정동) 1522-3232,37.520518,126.868841
목동SBS,"서울특별시 양천구 목동서로 161 (목동), 101호, 201호 1522-3232",37.52896162,126.8736301
목동역,서울특별시 양천구 목동로 203 (신정동) 1층일부 1522-3232,37.526684,126.863986
목동오목로,"서울특별시 양천구 오목로 279 (목동) 102,103,104,105호 1522-3232",37.525923,126.868438
목동트라팰리스,서울특별시 양천구 오목로 299 (목동) 1522-3232,37.5255,126.8702
목동파리공원,서울특별시 양천구 목동동로 377 (목동) 1522-3232,37.535336,126.878852
목동행복한,서울특별시 양천구 목동동로 309 (목동) 1522-3232,37.52972768,126.8759452
몬테소리,서울특별시 서초구 강남대로 399 (서초동) 1522-3232,37.4982695,127.026865
몽촌토성역,서울특별시 송파구 위례성대로 6 (방이동) 1522-3232,37.516913,127.113127
무교동,서울특별시 중구 무교로 21 (무교동) 코오롱빌딩 1층 1522-3232,37.56792802,126.9792066
무교로,서울특별시 중구 무교로 15 (무교동) 1522-3232,37.56722072,126.9790766
묵동,"서울특별시 중랑구 동일로 952 (묵동, 로프트원 태릉입구역) 1층 1522-3232",37.615368,127.076633
문래동,"서울특별시 영등포구 선유로 64, 대창타운빌 1층 (문래동3가) 1522-3232",37.519602,126.889652
문래역,서울특별시 영등포구 당산로 34 (문래동3가) 1522-3232,37.517446,126.895258
문정로데오,서울특별시 송파구 동남로 141 (가락동) 1522-3232,37.49185843,127.126231
문정법원로R,서울특별시 송파구 송파대로 201 (문정동) 1522-3232,37.48735627,127.1191198
문정법조타운 한양타워,서울특별시 송파구 법원로11길 12 (문정동) 1522-3232,37.48579659,127.1178142
문정역,"서울특별시 송파구 송파대로 167 (문정동)테라타워 B동 137호~139호,204호 1522-3232",37.4852965,127.1222768
문정역2번출구,서울특별시 송파구 문정로 1 (문정동) 1522-3232,37.4862934,127.1232027
문정하비오,"서울특별시 송파구 송파대로 111 (문정동, 파크하비오) 204동 104호~107호 1522-3232",37.48211913,127.1235407
문화일보,서울특별시 중구 새문안로 22 (충정로1가) 문화일보 1522-3232,37.56712291,126.9686642
미아,서울특별시 성북구 동소문로 314 (하월곡동) 1522-3232,37.607581,127.029303
미아뉴타운,서울특별시 강북구 삼양로 161 (미아동) 1522-3232,37.618319,127.021072
미아사거리역,서울특별시 강북구 도봉로 32 (미아동) 1522-3232,37.61183125,127.0305855
미아역,서울특별시 강북구 도봉로 196 (미아동) 1522-3232,37.626148,127.026578
미아이마트,서울특별시 성북구 도봉로 17 (길음동) 1522-3232,37.61054299,127.0299876
반포역,서울특별시 서초구 신반포로 257 (잠원동) 신반포11차상가 1522-3232,37.508589,127.011959
반포원베일리,서울특별시 서초구 반포대로 291 (반포동) 1522-3232,37.50465708,126.999033
반포자이,서울특별시 서초구 잠원로 24 (반포동) 1522-3232,37.50717048,127.0099189
발산역,서울특별시 강서구 강서로 388 (등촌동) 그랜드마트 1522-3232,37.56033524,126.8391391
발산역5번출구,"서울특별시 강서구 강서로52길 43 (내발산동, DH647), 1층 일부 1522-3232",37.55792247,126.8405403
